製造メーカー,機種,エンジン型式,部位,装置,手順,確認箇所,判断基準,確認要領,測定等記録,図形記録
堀川工機,MC300,ボルボ,エンジン,本体,,エンジンヘッドカバー、ターボ,オイル、燃料漏れ,オイル等滲み・垂れ跡が無,,
,,,エンジン,本体,,排気及び吸気,排気ガス色及びガス漏れ等の点検（マフラー等）,ほぼ透明の薄紫,,
,,,エンジン,スターター,,起動状態,回転及び異音の確認,イグニションスタートでスムーズに回転,,
,,,エンジン,スターター,,端子・配線,配線摺動による損傷及び端子ゆるみ,目視による緩み、損傷の無,,
,,,エンジン,燃料カットソレノイド,,作動確認,伸縮の作動,イグニションON・OFFで伸縮,,
,,,エンジン,燃料カットソレノイド,,リンク部の取付状態,ワイヤーの伸縮・割ピン等脱落,目視による脱落等がなし,,
,,,エンジン,エンジンオイル,,エンジンオイル,レベルゲージによる油量及び汚れ確認,レベルゲージ中央,,
,,,エンジン,エンジンオイル,,オイルフィルター,オイルフィルターオイル漏れ,フィルター付近へ油の垂れ後が無,,
,,,エンジン,エアーフィルター,,インジケーター,表示色の確認,エンジンか起動し緑色表示,,
,,,エンジン,エアーフィルター,,サクションホース,ホースの取付バンド締付及び損傷,ホースの硬化、バンドの緩み,,
,,,エンジン,コンプレッサー,,ヘッド・シリンダー周辺及びホース・配管,油洩れ,油垂れ痕が無,,
,,,エンジン,コンプレッサー,,筐体・配管,油漏れ及び配管ゆるみ,油垂れ痕が無,,
,,,エンジン,コンプレッサー,,調圧器,ホースの取付、損傷,コンプレッサーまでのホース亀裂等が無,,
,,,エンジン,ラジエター,,フィン（コア）・ファン,目詰り・損傷、冷却水漏れ,目視によりゴミ等付着が無、ファンの接触痕が無,,
,,,エンジン,ラジエター,,ラジエター内水量,水量及び濃度（色）,ラジエーターコアが露出し無、レベル中央、濃度約２０％以上,,
,,,エンジン,ラジエター,,リザーバータンク水量,水量及び濃度（色）,ラジエーターコアが露出し無、レベル中央、濃度約２０％以上,,
,,,エンジン,ラジエター,,ラジエターキャップ,パッキンの硬化、押さえバネの損傷,パッキンの硬化（凹み痕）、バネの反力があり、損傷が無,,
,,,エンジン,ラジエター,,ラジエターホース（アッパー・ロアー）,冷却水漏れ及びバンド締付,ホースの硬化、バンドの緩み,,
,,,エンジン,オルタネーター,,筐体,汚れ、変形等,ホコリ等の付着が無,,
,,,エンジン,オルタネーター,,取付け状態の点検,取付ブラケット、調整ネジ,取付ボルトの緩み、,,
,,,エンジン,オルタネーター,,ベルトの点検（張り（テンション）、損傷）,テンションの弛み、擦れ痕、ヒビ,約70kNで押さえ1０～20mm程度、擦れ摩耗が無,mm,
,,,エンジン,オルタネーター,,配線・端子,配線摺動による損傷及び端子ゆるみ,配線の硬化、外皮の傷が無、配線取付ネジ・ボルト等緩みが無,,
,,,エンジン,燃料タンク,,タンク残量,レベルゲージによる確認,半分以上（運用時間、距離により）,"残量　　
補給量",
,,,エンジン,燃料配管・ホース,,配管接続部及びホース,接続部緩み、燃料漏れ,接続部ボルト等の弛み、エンジン始動前に滲みが無,,
,,,エンジン,油水分離,,ドレーンボルト,油水抜き,ドレーンボルト緩め、燃料のみ出るまで,,
,,,エンジン,燃料フィードポンプ,,手動用ポンプ,緩み、燃料漏れ,燃料漏れ痕が無,,
,,,エンジン,燃料フィードポンプ,,ゴーズドフィルター,脱着清掃,目詰まりが無,,
,,,エンジン,燃料フィルター,,配管接続ボルト,緩み及び燃料漏れ,配管接続ボルト、フィルター周辺に燃料漏れ痕が無,,
,,,動力伝達,トルコン,,トルコンオイル,油量の点検,エンジン駆動中にレベル窓の中央（コマツはエンジン停止状態）,,
,,,動力伝達,トルコン,,パイプ、ホース、継ぎ手,油漏れ及び配管ゆるみ,オイル等滲み・垂れ跡が無,,
,,,動力伝達,油圧走行（MCR）,,作動油タンク,作動油の汚れ・量漏及び漏れ,ゲージ中央以・、粘度があり、汚れが無,,
,,,動力伝達,プロペラシャフト,,取付ボルト,緩み（Iマーク）、脱落の確認,Iマークのずれが無（Iマークが無い場合は確認締め）,,
,,,動力伝達,プロペラシャフト,,ユニバーサルジョイント,グリース切れ,グリスの飛散が無く、錆等の痕が無,,
,,,動力伝達,プロペラシャフト,,スプライン,錆付き、グリース切れ,グリスの飛散が無く、錆等の痕が無,,
,,,動力伝達,最終減速機,,筐体,接合部及び、車軸側からのオイル漏れ,カバー接合部及び、入力側、車軸側からのオイル漏れが無,,
,,,動力伝達,最終減速機,,オイルポンプ,ピニオンギヤまでの配管からのオイル漏れ,配管継ぎ手からのオイル漏れ無,,
,,,動力伝達,最終減速機,,ギヤーオイル,オイル量,点検窓で中央（窓のない機種は、レベルゲージで中央）,,
,,,動力伝達,軸箱,,軸箱温度,サーモラベル点検（取付状態及び変色）,ほぼ白色（約1年毎張り替え）,有・無,
,,,動力伝達,軸箱,,軸箱グリース,グリース切れの確認,車輪周辺へグリス飛散が無,,
,,,動力伝達,担ばね,,重ね板バネの点検,錆付き、結束ボルトゆるみ、脱落,錆の垂れ痕、ボルトの緩みが無,,
,,,動力伝達,車輪,,短絡装置,絶縁材の状態、切り換え及び,500V１Mオーム以上、絶縁材のズレ、はみ出しが無,,
,,,制動装置,リンク機構,,割ピン及び止め金具,脱落の確認,割ピン（コッターピン含む）脱落が無、調整ネジカバーの設置,,
,,,制動装置,リンク機構,,リンクロッド,ロッド曲がり、折損の確認,ロッド曲がり、折損が無,,
,,,制動装置,ブレーキシリンダー,,ブレーキシリンダー,ストローク測定,60～90mm（ブレーキ約200kpa時）,mm,
,,,制動装置,ブレーキシリンダー,,ブレーキシリンダー,伸縮及びブレーキ圧の抜け,スムーズな伸縮（戻り）、重なりで漏洩40kpa/分以下,,
,,,制動装置,制輪子,,連結ピン・割ピン,取付状態の確認,連結ピン・割ピンの抜け、脱落が無,,
,,,制動装置,制輪子,,摩耗,厚さ測定,最低２0mm以上,,
,,,制動装置,ディスクブレーキ（MCR）,,ブーレーキパット,厚さ測定,最低１0mm以上,,
,,,制動装置,ディスクブレーキ（MCR）,,ブレーキオイルリザーバータンク,油量の点検,リザーバータンクのレベル中央,,
,,,制動装置,ディスクブレーキ（MCR）,,キャリパー,キャリパーシリンダーからの油漏れ,ブレーキオイルの滲み、垂れが無,,
,,,制動装置,エアータンク,,ドレーンコック,ドレーン,圧力溜めエンジン停止後、漏れが無（タンクⅠ・Ⅱ、補助、制御、チリコシ）,,
,,,制動装置,空油変換機,,エアシリンダ,エアシリンダ周りのエア洩れ,ブレーキ制動時にエアー漏れが無,,
,,,制動装置,空油変換機,,オイルシリンダ,オイルシリンダ周りの油漏れ,ブレーキ制動時に油漏れが無,,
,,,制動装置,空油変換機,,オイルシリンダ,オイルシリンダ取付ボルトの緩み,シリンダー筐体の取付ボルト、バンド等の弛みが無,,
,,,制動装置,空油変換機,,配管・ブレーキホース,ブレーキホースの損傷、取付状態,配管とホース接続部からの油漏れが無,,
,,,制動装置,ブレーキオイル,,ブレーキオイルリザーバータンク,油量点検,ゲージ中央,,
